Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Score Penalties,Attendance,Round_ID,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
2002,06 Jun 2002 - 18:00,Group E,Saitama Stadium 2002,Saitama,Cameroon,1,0,Saudi Arabia,0-0,52328,217,0,0,CMR,KSA
2002,06 Jun 2002 - 20:30,Group A,Busan Asiad Main Stadium,Busan,France,0,0,Uruguay,0-0,38289,217,0,0,FRA,URU
2002,07 Jun 2002 - 15:30,Group F,Kobe Wing Stadium,Kobe,Sweden,2,1,Nigeria,0-0,36194,217,1,1,SWE,NGA
2002,07 Jun 2002 - 20:30,Group F,Sapporo Dome,Sapporo,Argentina,0,1,England,0-0,35927,217,0,1,ARG,ENG
2002,07 June 2002 - 18:00,Group B,Jeonju World Cup Stadium,Jeonju,Spain,3,1,Paraguay,0-0,24000,217,0,1,ESP,PAR
2002,08 Jun 2002 - 15:30,Group B,Daegu World Cup Stadium,Daegu,South Africa,1,0,Slovenia,0-0,47226,217,1,0,RSA,SVN
2002,08 Jun 2002 - 20:30,Group C,Jeju World Cup Stadium,Jeju,Brazil,4,0,China PR,0-0,36750,217,3,0,BRA,CHN
2002,08 June 2002 - 18:00,Group G,Kashima Stadium,Ibaraki,Italy,1,2,Croatia,0-0,36472,217,0,0,ITA,CRO
2002,09 Jun 2002 - 18:00,Group C,Incheon Football Stadium,Incheon,Costa Rica,1,1,Turkey,0-0,42299,217,0,0,CRC,TUR
2002,09 Jun 2002 - 20:30,Group H,International Stadium Yokohama,Yokohama,Japan,1,0,Russia,0-0,66108,217,0,0,JPN,RUS
2002,09 Jun 2002 - 15:30,Group G,Miyagi Stadium,Rifu,Mexico,2,1,Ecuador,0-0,45610,217,1,1,MEX,ECU
2002,10 Jun 2002 - 15:30,Group D,Daegu World Cup Stadium,Daegu,Korea Republic,1,1,USA,0-0,60778,217,0,1,KOR,USA
2002,10 Jun 2002 - 20:30,Group D,Jeonju World Cup Stadium,Jeonju,Portugal,4,0,Poland,0-0,31000,217,1,0,POR,POL
2002,10 Jun 2002 - 18:00,Group H,Oita Stadium Big Eye,Oita,Tunisia,1,1,Belgium,0-0,39700,217,1,1,TUN,BEL
2002,11 Jun 2002 - 15:30,Group A,Incheon Football Stadium,Incheon,Denmark,2,0,France,0-0,48100,217,1,0,DEN,FRA
2002,11 June 2002 - 15:30,Group A,Suwon World Cup Stadium,Suwon,Senegal,3,3,Uruguay,0-0,33681,217,3,0,SEN,URU
2002,11 Jun 2002 - 20:30,Group E,International Stadium Yokohama,Yokohama,Saudi Arabia,0,3,"rn"">Republic of Ireland",0-0,65320,217,0,1,KSA,IRL
2002,11 Jun 2002 - 20:30,Group E,Shizuoka Stadium Ecopa,Shizuoka,Cameroon,0,2,Germany,0-0,47085,217,0,0,CMR,GER
2002,12 Jun 2002 - 15:30,Group F,Miyagi Stadium,Rifu,Sweden,1,1,Argentina,0-0,45777,217,0,0,SWE,ARG
2002,12 Jun 2002 - 15:30,Group F,Osaka Nagai Stadium,Osaka,Nigeria,0,0,England,0-0,44864,217,0,0,NGA,ENG
2002,12 Jun 2002 - 20:30,Group B,Jeju World Cup Stadium,Jeju,Slovenia,1,3,Paraguay,0-0,30176,217,1,0,SVN,PAR
2002,12 Jun 2002 - 20:30,Group B,Daejeon World Cup Stadium,Daejeon,South Africa,2,3,Spain,0-0,31024,217,1,2,RSA,ESP
2002,13 Jun 2002 - 15:30,Group C,Suwon World Cup Stadium,Suwon,Costa Rica,2,5,Brazil,0-0,38524,217,1,3,CRC,BRA
2002,13 Jun 2002 - 15:30,Group C,Seoul World Cup Stadium,Seoul,Turkey,3,0,China PR,0-0,43605,217,2,0,TUR,CHN
2002,13 Jun 2002 - 20:30,Group G,International Stadium Yokohama,Yokohama,Ecuador,1,0,Croatia,0-0,65862,217,0,0,ECU,CRO
2002,13 Jun 2002 - 20:30,Group G,Oita Stadium Big Eye,Oita,Mexico,1,1,Italy,0-0,39291,217,1,0,MEX,ITA
