,WINNER,SECOND,THIRD
Brazil,5,2,2
Germany,4,4,4
Italy,4,2,1
Argentina,3,3,0
France,2,2,2
Uruguay,2,0,0
England,1,0,0
Spain,1,0,0
Netherlands,0,3,1
Czechoslovakia,0,2,0
Hungary,0,2,0
Croatia,0,1,2
Sweden,0,1,2
Poland,0,0,2
Austria,0,0,1
Belgium,0,0,1
Chile,0,0,1
Portugal,0,0,1
Turkey,0,0,1
USA,0,0,1
